P,I,D,T,onehot
0.3,12.0,10.0,378.61339999999984,1
0.3,12.0,10.256410256410255,378.61339999999984,1
0.3,12.0,10.512820512820513,378.61339999999984,1
0.3,12.0,10.76923076923077,378.61339999999984,1
0.3,12.0,11.025641025641026,378.55679999999984,1
0.3,12.0,11.28205128205128,378.55679999999984,1
0.3,12.0,11.538461538461538,378.56219999999985,1
0.3,12.0,11.794871794871796,378.56219999999985,1
0.3,12.0,12.051282051282053,378.56219999999985,1
0.3,12.0,12.307692307692308,378.56219999999985,1
0.3,12.0,12.564102564102564,378.56219999999985,1
0.3,12.0,12.82051282051282,378.56219999999985,1
0.3,12.0,13.076923076923077,378.56219999999985,1
0.3,12.0,13.333333333333332,378.56219999999985,1
0.3,12.0,13.58974358974359,378.5533999999999,1
0.3,12.0,13.846153846153848,378.5533999999999,1
0.3,12.0,14.102564102564102,378.1530999999999,1
0.3,12.0,14.358974358974358,377.77859999999987,1
0.3,12.0,14.615384615384617,377.77859999999987,1
0.3,12.0,14.871794871794872,377.77859999999987,1
0.3,12.0,15.128205128205128,377.77859999999987,1
0.3,12.0,15.384615384615383,377.77859999999987,1
0.3,12.0,15.64102564102564,377.77859999999987,1
0.3,12.0,15.897435897435898,377.77859999999987,1
0.3,12.0,16.153846153846153,377.77859999999987,1
0.3,12.0,16.41025641025641,378.9742999999997,1
0.3,12.0,16.666666666666664,379.05539999999974,1
0.3,12.0,16.923076923076923,378.6711999999998,1
0.3,12.0,17.17948717948718,378.6711999999998,1
0.3,12.0,17.435897435897434,377.63049999999987,1
0.3,12.0,17.692307692307693,377.3976999999999,1
0.3,12.0,17.94871794871795,377.2220999999999,1
0.3,12.0,18.205128205128204,377.0684999999999,1
0.3,12.0,18.46153846153846,376.9806999999999,1
0.3,12.0,18.717948717948715,376.9806999999999,1
0.3,12.0,18.97435897435897,376.9806999999999,1
0.3,12.0,19.23076923076923,377.68639999999994,1
0.3,12.0,19.487179487179485,377.68639999999994,1
0.3,12.0,19.743589743589745,380.25659999999993,1
0.3,12.0,20.0,380.25659999999993,1
0.3,12.46938775510204,10.0,378.61339999999984,1
0.3,12.46938775510204,10.256410256410255,378.61339999999984,1
0.3,12.46938775510204,10.512820512820513,378.61339999999984,1
0.3,12.46938775510204,10.76923076923077,378.61339999999984,1
0.3,12.46938775510204,11.025641025641026,378.55679999999984,1
0.3,12.46938775510204,11.28205128205128,378.55679999999984,1
0.3,12.46938775510204,11.538461538461538,378.56219999999985,1
0.3,12.46938775510204,11.794871794871796,378.56219999999985,1
0.3,12.46938775510204,12.051282051282053,378.56219999999985,1
0.3,12.46938775510204,12.307692307692308,378.56219999999985,1
0.3,12.46938775510204,12.564102564102564,378.56219999999985,1
0.3,12.46938775510204,12.82051282051282,378.56219999999985,1
0.3,12.46938775510204,13.076923076923077,378.56219999999985,1
0.3,12.46938775510204,13.333333333333332,378.56219999999985,1
0.3,12.46938775510204,13.58974358974359,378.5533999999999,1
0.3,12.46938775510204,13.846153846153848,378.5533999999999,1
0.3,12.46938775510204,14.102564102564102,378.13779999999986,1
0.3,12.46938775510204,14.358974358974358,377.7632999999998,1
0.3,12.46938775510204,14.615384615384617,377.7632999999998,1
0.3,12.46938775510204,14.871794871794872,377.7632999999998,1
0.3,12.46938775510204,15.128205128205128,377.7632999999998,1
0.3,12.46938775510204,15.384615384615383,377.7632999999998,1
0.3,12.46938775510204,15.64102564102564,377.7632999999998,1
0.3,12.46938775510204,15.897435897435898,377.7632999999998,1
0.3,12.46938775510204,16.153846153846153,377.7632999999998,1
0.3,12.46938775510204,16.41025641025641,378.9589999999997,1
0.3,12.46938775510204,16.666666666666664,379.0400999999997,1
0.3,12.46938775510204,16.923076923076923,378.65589999999975,1
0.3,12.46938775510204,17.17948717948718,378.65589999999975,1
0.3,12.46938775510204,17.435897435897434,377.6151999999999,1
0.3,12.46938775510204,17.692307692307693,377.3976999999999,1
0.3,12.46938775510204,17.94871794871795,377.2220999999999,1
0.3,12.46938775510204,18.205128205128204,377.0684999999999,1
0.3,12.46938775510204,18.46153846153846,376.9806999999999,1
0.3,12.46938775510204,18.717948717948715,376.9806999999999,1
0.3,12.46938775510204,18.97435897435897,376.9806999999999,1
0.3,12.46938775510204,19.23076923076923,377.68639999999994,1
0.3,12.46938775510204,19.487179487179485,377.68639999999994,1
0.3,12.46938775510204,19.743589743589745,380.2552999999999,1
0.3,12.46938775510204,20.0,380.2552999999999,1
0.3,12.93877551020408,10.0,378.61339999999984,1
0.3,12.93877551020408,10.256410256410255,378.61339999999984,1
0.3,12.93877551020408,10.512820512820513,378.61339999999984,1
0.3,12.93877551020408,10.76923076923077,378.61339999999984,1
0.3,12.93877551020408,11.025641025641026,378.55679999999984,1
0.3,12.93877551020408,11.28205128205128,378.55679999999984,1
0.3,12.93877551020408,11.538461538461538,378.56219999999985,1
0.3,12.93877551020408,11.794871794871796,378.56219999999985,1
0.3,12.93877551020408,12.051282051282053,378.56219999999985,1
0.3,12.93877551020408,12.307692307692308,378.56219999999985,1
0.3,12.93877551020408,12.564102564102564,378.56219999999985,1
0.3,12.93877551020408,12.82051282051282,378.56219999999985,1
0.3,12.93877551020408,13.076923076923077,378.56219999999985,1
0.3,12.93877551020408,13.333333333333332,378.56219999999985,1
0.3,12.93877551020408,13.58974358974359,378.5533999999999,1
0.3,12.93877551020408,13.846153846153848,378.5533999999999,1
0.3,12.93877551020408,14.102564102564102,378.13779999999986,1
0.3,12.93877551020408,14.358974358974358,377.7632999999998,1
0.3,12.93877551020408,14.615384615384617,377.7632999999998,1
0.3,12.93877551020408,14.871794871794872,377.7632999999998,1
0.3,12.93877551020408,15.128205128205128,377.7632999999998,1
0.3,12.93877551020408,15.384615384615383,377.7632999999998,1
0.3,12.93877551020408,15.64102564102564,377.7632999999998,1
0.3,12.93877551020408,15.897435897435898,377.7632999999998,1
0.3,12.93877551020408,16.153846153846153,377.7632999999998,1
0.3,12.93877551020408,16.41025641025641,378.9589999999997,1
0.3,12.93877551020408,16.666666666666664,379.0400999999997,1
0.3,12.93877551020408,16.923076923076923,378.65589999999975,1
0.3,12.93877551020408,17.17948717948718,378.65589999999975,1
0.3,12.93877551020408,17.435897435897434,377.6151999999999,1
0.3,12.93877551020408,17.692307692307693,377.3976999999999,1
0.3,12.93877551020408,17.94871794871795,377.2220999999999,1
0.3,12.93877551020408,18.205128205128204,377.0684999999999,1
0.3,12.93877551020408,18.46153846153846,376.9806999999999,1
0.3,12.93877551020408,18.717948717948715,376.9806999999999,1
0.3,12.93877551020408,18.97435897435897,376.9806999999999,1
0.3,12.93877551020408,19.23076923076923,377.68639999999994,1
0.3,12.93877551020408,19.487179487179485,377.68639999999994,1
0.3,12.93877551020408,19.743589743589745,380.2552999999999,1
0.3,12.93877551020408,20.0,380.2552999999999,1
0.3,13.408163265306122,10.0,378.61339999999984,1
0.3,13.408163265306122,10.256410256410255,378.61339999999984,1
0.3,13.408163265306122,10.512820512820513,378.61339999999984,1
0.3,13.408163265306122,10.76923076923077,378.61339999999984,1
0.3,13.408163265306122,11.025641025641026,378.55679999999984,1
0.3,13.408163265306122,11.28205128205128,378.55679999999984,1
0.3,13.408163265306122,11.538461538461538,378.56219999999985,1
0.3,13.408163265306122,11.794871794871796,378.56219999999985,1
0.3,13.408163265306122,12.051282051282053,378.56219999999985,1
0.3,13.408163265306122,12.307692307692308,378.56219999999985,1
0.3,13.408163265306122,12.564102564102564,378.56219999999985,1
0.3,13.408163265306122,12.82051282051282,378.56219999999985,1
0.3,13.408163265306122,13.076923076923077,378.56219999999985,1
0.3,13.408163265306122,13.333333333333332,378.56219999999985,1
0.3,13.408163265306122,13.58974358974359,378.5533999999999,1
0.3,13.408163265306122,13.846153846153848,378.5533999999999,1
0.3,13.408163265306122,14.102564102564102,378.13779999999986,1
0.3,13.408163265306122,14.358974358974358,377.7632999999998,1
0.3,13.408163265306122,14.615384615384617,377.7632999999998,1
0.3,13.408163265306122,14.871794871794872,377.7632999999998,1
0.3,13.408163265306122,15.128205128205128,377.7632999999998,1
0.3,13.408163265306122,15.384615384615383,377.7632999999998,1
0.3,13.408163265306122,15.64102564102564,377.7632999999998,1
0.3,13.408163265306122,15.897435897435898,377.7632999999998,1
0.3,13.408163265306122,16.153846153846153,377.7632999999998,1
0.3,13.408163265306122,16.41025641025641,378.9589999999997,1
0.3,13.408163265306122,16.666666666666664,379.0400999999997,1
0.3,13.408163265306122,16.923076923076923,378.65589999999975,1
0.3,13.408163265306122,17.17948717948718,378.65589999999975,1
0.3,13.408163265306122,17.435897435897434,377.6151999999999,1
0.3,13.408163265306122,17.692307692307693,377.3976999999999,1
0.3,13.408163265306122,17.94871794871795,377.2220999999999,1
0.3,13.408163265306122,18.205128205128204,377.0684999999999,1
0.3,13.408163265306122,18.46153846153846,376.9806999999999,1
0.3,13.408163265306122,18.717948717948715,376.9806999999999,1
0.3,13.408163265306122,18.97435897435897,376.9806999999999,1
0.3,13.408163265306122,19.23076923076923,377.68639999999994,1
0.3,13.408163265306122,19.487179487179485,377.68639999999994,1
0.3,13.408163265306122,19.743589743589745,380.2552999999999,1
0.3,13.408163265306122,20.0,380.2552999999999,1
0.3,13.877551020408164,10.0,377.3846999999998,1
0.3,13.877551020408164,10.256410256410255,377.3846999999998,1
0.3,13.877551020408164,10.512820512820513,377.3846999999998,1
0.3,13.877551020408164,10.76923076923077,377.3846999999998,1
0.3,13.877551020408164,11.025641025641026,377.3280999999998,1
0.3,13.877551020408164,11.28205128205128,377.3280999999998,1
0.3,13.877551020408164,11.538461538461538,377.3334999999998,1
0.3,13.877551020408164,11.794871794871796,377.3334999999998,1
0.3,13.877551020408164,12.051282051282053,377.3334999999998,1
0.3,13.877551020408164,12.307692307692308,377.3334999999998,1
0.3,13.877551020408164,12.564102564102564,377.3334999999998,1
0.3,13.877551020408164,12.82051282051282,377.3334999999998,1
0.3,13.877551020408164,13.076923076923077,377.3334999999998,1
0.3,13.877551020408164,13.333333333333332,377.3334999999998,1
0.3,13.877551020408164,13.58974358974359,377.3246999999998,1
0.3,13.877551020408164,13.846153846153848,377.3246999999998,1
0.3,13.877551020408164,14.102564102564102,376.9090999999998,1
0.3,13.877551020408164,14.358974358974358,376.7592999999999,1
0.3,13.877551020408164,14.615384615384617,376.7592999999999,1
0.3,13.877551020408164,14.871794871794872,376.7592999999999,1
0.3,13.877551020408164,15.128205128205128,376.7592999999999,1
0.3,13.877551020408164,15.384615384615383,376.7592999999999,1
0.3,13.877551020408164,15.64102564102564,376.7592999999999,1
0.3,13.877551020408164,15.897435897435898,376.7592999999999,1
0.3,13.877551020408164,16.153846153846153,376.7592999999999,1
0.3,13.877551020408164,16.41025641025641,377.94159999999977,1
0.3,13.877551020408164,16.666666666666664,377.9861999999997,1
0.3,13.877551020408164,16.923076923076923,377.6019999999998,1
0.3,13.877551020408164,17.17948717948718,377.6019999999998,1
0.3,13.877551020408164,17.435897435897434,376.7368999999999,1
0.3,13.877551020408164,17.692307692307693,376.51939999999996,1
0.3,13.877551020408164,17.94871794871795,376.43159999999995,1
0.3,13.877551020408164,18.205128205128204,376.27799999999996,1
0.3,13.877551020408164,18.46153846153846,376.27799999999996,1
0.3,13.877551020408164,18.717948717948715,376.27799999999996,1
0.3,13.877551020408164,18.97435897435897,376.27799999999996,1
0.3,13.877551020408164,19.23076923076923,376.977,1
0.3,13.877551020408164,19.487179487179485,376.977,1
0.3,13.877551020408164,19.743589743589745,379.64899999999994,1
0.3,13.877551020408164,20.0,379.64899999999994,1
0.3,14.346938775510203,10.0,377.0882999999999,1
0.3,14.346938775510203,10.256410256410255,377.0882999999999,1
0.3,14.346938775510203,10.512820512820513,377.0882999999999,1
0.3,14.346938775510203,10.76923076923077,377.0882999999999,1
0.3,14.346938775510203,11.025641025641026,377.03169999999983,1
0.3,14.346938775510203,11.28205128205128,377.03169999999983,1
0.3,14.346938775510203,11.538461538461538,377.03709999999984,1
0.3,14.346938775510203,11.794871794871796,377.03709999999984,1
0.3,14.346938775510203,12.051282051282053,377.03709999999984,1
0.3,14.346938775510203,12.307692307692308,377.03709999999984,1
0.3,14.346938775510203,12.564102564102564,377.03709999999984,1
0.3,14.346938775510203,12.82051282051282,377.03709999999984,1
0.3,14.346938775510203,13.076923076923077,377.03709999999984,1
0.3,14.346938775510203,13.333333333333332,377.03709999999984,1
0.3,14.346938775510203,13.58974358974359,377.0282999999999,1
0.3,14.346938775510203,13.846153846153848,377.0282999999999,1
0.3,14.346938775510203,14.102564102564102,376.6126999999999,1
0.3,14.346938775510203,14.358974358974358,376.5377999999999,1
0.3,14.346938775510203,14.615384615384617,376.5377999999999,1
0.3,14.346938775510203,14.871794871794872,376.5377999999999,1
0.3,14.346938775510203,15.128205128205128,376.5377999999999,1
0.3,14.346938775510203,15.384615384615383,376.5377999999999,1
0.3,14.346938775510203,15.64102564102564,376.5377999999999,1
0.3,14.346938775510203,15.897435897435898,376.5377999999999,1
0.3,14.346938775510203,16.153846153846153,376.5377999999999,1
0.3,14.346938775510203,16.41025641025641,377.7200999999998,1
0.3,14.346938775510203,16.666666666666664,377.7646999999998,1
0.3,14.346938775510203,16.923076923076923,377.38049999999987,1
0.3,14.346938775510203,17.17948717948718,377.38049999999987,1
0.3,14.346938775510203,17.435897435897434,376.51539999999994,1
0.3,14.346938775510203,17.692307692307693,376.2979,1
0.3,14.346938775510203,17.94871794871795,376.2101,1
0.3,14.346938775510203,18.205128205128204,376.0565,1
0.3,14.346938775510203,18.46153846153846,376.0565,1
0.3,14.346938775510203,18.717948717948715,376.0565,1
0.3,14.346938775510203,18.97435897435897,376.0565,1
0.3,14.346938775510203,19.23076923076923,376.75550000000004,1
0.3,14.346938775510203,19.487179487179485,376.75550000000004,1
0.3,14.346938775510203,19.743589743589745,379.4275,1
0.3,14.346938775510203,20.0,379.4275,1
0.3,14.816326530612244,10.0,376.50359999999995,1
0.3,14.816326530612244,10.256410256410255,376.50359999999995,1
0.3,14.816326530612244,10.512820512820513,376.50359999999995,1
0.3,14.816326530612244,10.76923076923077,376.50359999999995,1
0.3,14.816326530612244,11.025641025641026,376.44699999999995,1
0.3,14.816326530612244,11.28205128205128,376.44699999999995,1
0.3,14.816326530612244,11.538461538461538,376.45239999999995,1
0.3,14.816326530612244,11.794871794871796,376.45239999999995,1
0.3,14.816326530612244,12.051282051282053,376.45239999999995,1
0.3,14.816326530612244,12.307692307692308,376.45239999999995,1
0.3,14.816326530612244,12.564102564102564,376.45239999999995,1
0.3,14.816326530612244,12.82051282051282,376.45239999999995,1
0.3,14.816326530612244,13.076923076923077,376.45239999999995,1
0.3,14.816326530612244,13.333333333333332,376.45239999999995,1
0.3,14.816326530612244,13.58974358974359,376.4436,1
0.3,14.816326530612244,13.846153846153848,376.4436,1
0.3,14.816326530612244,14.102564102564102,376.02799999999996,1
0.3,14.816326530612244,14.358974358974358,375.95309999999995,1
0.3,14.816326530612244,14.615384615384617,375.95309999999995,1
0.3,14.816326530612244,14.871794871794872,375.95309999999995,1
0.3,14.816326530612244,15.128205128205128,375.95309999999995,1
0.3,14.816326530612244,15.384615384615383,375.95309999999995,1
0.3,14.816326530612244,15.64102564102564,375.95309999999995,1
0.3,14.816326530612244,15.897435897435898,375.95309999999995,1
0.3,14.816326530612244,16.153846153846153,375.95309999999995,1
0.3,14.816326530612244,16.41025641025641,377.1353999999999,1
0.3,14.816326530612244,16.666666666666664,377.1700999999999,1
0.3,14.816326530612244,16.923076923076923,376.7858999999999,1
0.3,14.816326530612244,17.17948717948718,376.7858999999999,1
0.3,14.816326530612244,17.435897435897434,376.08349999999996,1
0.3,14.816326530612244,17.692307692307693,375.86600000000004,1
0.3,14.816326530612244,17.94871794871795,375.7782000000001,1
0.3,14.816326530612244,18.205128205128204,375.62460000000004,1
0.3,14.816326530612244,18.46153846153846,375.62460000000004,1
0.3,14.816326530612244,18.717948717948715,375.62460000000004,1
0.3,14.816326530612244,18.97435897435897,375.62460000000004,1
0.3,14.816326530612244,19.23076923076923,376.32360000000006,1
0.3,14.816326530612244,19.487179487179485,376.32360000000006,1
0.3,14.816326530612244,19.743589743589745,379.24800000000005,1
0.3,14.816326530612244,20.0,379.24800000000005,1
0.3,15.285714285714286,10.0,376.50359999999995,1
0.3,15.285714285714286,10.256410256410255,376.50359999999995,1
0.3,15.285714285714286,10.512820512820513,376.50359999999995,1
0.3,15.285714285714286,10.76923076923077,376.50359999999995,1
0.3,15.285714285714286,11.025641025641026,376.44699999999995,1
0.3,15.285714285714286,11.28205128205128,376.44699999999995,1
0.3,15.285714285714286,11.538461538461538,376.45239999999995,1
0.3,15.285714285714286,11.794871794871796,376.45239999999995,1
0.3,15.285714285714286,12.051282051282053,376.45239999999995,1
0.3,15.285714285714286,12.307692307692308,376.45239999999995,1
0.3,15.285714285714286,12.564102564102564,376.45239999999995,1
0.3,15.285714285714286,12.82051282051282,376.45239999999995,1
0.3,15.285714285714286,13.076923076923077,376.45239999999995,1
0.3,15.285714285714286,13.333333333333332,376.45239999999995,1
0.3,15.285714285714286,13.58974358974359,376.4436,1
0.3,15.285714285714286,13.846153846153848,376.4436,1
0.3,15.285714285714286,14.102564102564102,376.02799999999996,1
0.3,15.285714285714286,14.358974358974358,375.95309999999995,1
0.3,15.285714285714286,14.615384615384617,375.95309999999995,1
0.3,15.285714285714286,14.871794871794872,375.95309999999995,1
0.3,15.285714285714286,15.128205128205128,375.95309999999995,1
0.3,15.285714285714286,15.384615384615383,375.95309999999995,1
0.3,15.285714285714286,15.64102564102564,375.95309999999995,1
0.3,15.285714285714286,15.897435897435898,375.95309999999995,1
0.3,15.285714285714286,16.153846153846153,375.95309999999995,1
0.3,15.285714285714286,16.41025641025641,377.1353999999999,1
0.3,15.285714285714286,16.666666666666664,377.1700999999999,1
0.3,15.285714285714286,16.923076923076923,376.7858999999999,1
0.3,15.285714285714286,17.17948717948718,376.7858999999999,1
0.3,15.285714285714286,17.435897435897434,376.08349999999996,1
0.3,15.285714285714286,17.692307692307693,375.86600000000004,1
0.3,15.285714285714286,17.94871794871795,375.7782000000001,1
0.3,15.285714285714286,18.205128205128204,375.62460000000004,1
0.3,15.285714285714286,18.46153846153846,375.62460000000004,1
0.3,15.285714285714286,18.717948717948715,375.62460000000004,1
0.3,15.285714285714286,18.97435897435897,375.62460000000004,1
0.3,15.285714285714286,19.23076923076923,376.32360000000006,1
0.3,15.285714285714286,19.487179487179485,376.32360000000006,1
0.3,15.285714285714286,19.743589743589745,379.24800000000005,1
0.3,15.285714285714286,20.0,379.24800000000005,1
0.3,15.755102040816327,10.0,376.46469999999994,1
0.3,15.755102040816327,10.256410256410255,376.46469999999994,1
0.3,15.755102040816327,10.512820512820513,376.46469999999994,1
0.3,15.755102040816327,10.76923076923077,376.46469999999994,1
0.3,15.755102040816327,11.025641025641026,376.4080999999999,1
0.3,15.755102040816327,11.28205128205128,376.4080999999999,1
0.3,15.755102040816327,11.538461538461538,376.4134999999999,1
0.3,15.755102040816327,11.794871794871796,376.4134999999999,1
0.3,15.755102040816327,12.051282051282053,376.4134999999999,1
0.3,15.755102040816327,12.307692307692308,376.4134999999999,1
0.3,15.755102040816327,12.564102564102564,376.4134999999999,1
0.3,15.755102040816327,12.82051282051282,376.4134999999999,1
0.3,15.755102040816327,13.076923076923077,376.4134999999999,1
0.3,15.755102040816327,13.333333333333332,376.4134999999999,1
0.3,15.755102040816327,13.58974358974359,376.40469999999993,1
0.3,15.755102040816327,13.846153846153848,376.40469999999993,1
0.3,15.755102040816327,14.102564102564102,375.98909999999995,1
0.3,15.755102040816327,14.358974358974358,375.91419999999994,1
0.3,15.755102040816327,14.615384615384617,375.91419999999994,1
0.3,15.755102040816327,14.871794871794872,375.91419999999994,1
0.3,15.755102040816327,15.128205128205128,375.91419999999994,1
0.3,15.755102040816327,15.384615384615383,375.91419999999994,1
0.3,15.755102040816327,15.64102564102564,375.91419999999994,1
0.3,15.755102040816327,15.897435897435898,375.91419999999994,1
0.3,15.755102040816327,16.153846153846153,375.91419999999994,1
0.3,15.755102040816327,16.41025641025641,377.0964999999998,1
0.3,15.755102040816327,16.666666666666664,377.1311999999998,1
0.3,15.755102040816327,16.923076923076923,376.7469999999999,1
0.3,15.755102040816327,17.17948717948718,376.7469999999999,1
0.3,15.755102040816327,17.435897435897434,376.0446,1
0.3,15.755102040816327,17.692307692307693,375.8271,1
0.3,15.755102040816327,17.94871794871795,375.7393,1
0.3,15.755102040816327,18.205128205128204,375.5857,1
0.3,15.755102040816327,18.46153846153846,375.5857,1
0.3,15.755102040816327,18.717948717948715,375.5857,1
0.3,15.755102040816327,18.97435897435897,375.5857,1
0.3,15.755102040816327,19.23076923076923,376.2847,1
0.3,15.755102040816327,19.487179487179485,376.2847,1
0.3,15.755102040816327,19.743589743589745,379.20910000000003,1
0.3,15.755102040816327,20.0,379.20910000000003,1
0.3,16.224489795918366,10.0,376.6140999999999,1
0.3,16.224489795918366,10.256410256410255,376.6140999999999,1
0.3,16.224489795918366,10.512820512820513,376.6140999999999,1
0.3,16.224489795918366,10.76923076923077,376.6140999999999,1
0.3,16.224489795918366,11.025641025641026,376.55749999999995,1
0.3,16.224489795918366,11.28205128205128,376.55749999999995,1
0.3,16.224489795918366,11.538461538461538,376.56289999999996,1
0.3,16.224489795918366,11.794871794871796,376.56289999999996,1
0.3,16.224489795918366,12.051282051282053,376.56289999999996,1
0.3,16.224489795918366,12.307692307692308,376.56289999999996,1
0.3,16.224489795918366,12.564102564102564,376.56289999999996,1
0.3,16.224489795918366,12.82051282051282,376.56289999999996,1
0.3,16.224489795918366,13.076923076923077,376.56289999999996,1
0.3,16.224489795918366,13.333333333333332,376.56289999999996,1
0.3,16.224489795918366,13.58974358974359,376.55409999999995,1
0.3,16.224489795918366,13.846153846153848,376.55409999999995,1
0.3,16.224489795918366,14.102564102564102,376.1384999999999,1
0.3,16.224489795918366,14.358974358974358,376.06359999999995,1
0.3,16.224489795918366,14.615384615384617,376.06359999999995,1
0.3,16.224489795918366,14.871794871794872,376.06359999999995,1
0.3,16.224489795918366,15.128205128205128,376.06359999999995,1
0.3,16.224489795918366,15.384615384615383,376.06359999999995,1
0.3,16.224489795918366,15.64102564102564,376.06359999999995,1
0.3,16.224489795918366,15.897435897435898,376.06359999999995,1
0.3,16.224489795918366,16.153846153846153,376.06359999999995,1
0.3,16.224489795918366,16.41025641025641,377.24589999999984,1
0.3,16.224489795918366,16.666666666666664,377.2805999999998,1
0.3,16.224489795918366,16.923076923076923,376.89639999999986,1
0.3,16.224489795918366,17.17948717948718,376.89639999999986,1
0.3,16.224489795918366,17.435897435897434,376.19399999999996,1
0.3,16.224489795918366,17.692307692307693,375.9765,1
0.3,16.224489795918366,17.94871794871795,375.88870000000003,1
0.3,16.224489795918366,18.205128205128204,375.73510000000005,1
0.3,16.224489795918366,18.46153846153846,375.73510000000005,1
0.3,16.224489795918366,18.717948717948715,375.73510000000005,1
0.3,16.224489795918366,18.97435897435897,375.73510000000005,1
0.3,16.224489795918366,19.23076923076923,376.43410000000006,1
0.3,16.224489795918366,19.487179487179485,376.43410000000006,1
0.3,16.224489795918366,19.743589743589745,379.3239,1
0.3,16.224489795918366,20.0,379.3239,1
0.3,16.693877551020407,10.0,376.6140999999999,1
0.3,16.693877551020407,10.256410256410255,376.6140999999999,1
0.3,16.693877551020407,10.512820512820513,376.6140999999999,1
0.3,16.693877551020407,10.76923076923077,376.6140999999999,1
0.3,16.693877551020407,11.025641025641026,376.55749999999995,1
0.3,16.693877551020407,11.28205128205128,376.55749999999995,1
0.3,16.693877551020407,11.538461538461538,376.56289999999996,1
0.3,16.693877551020407,11.794871794871796,376.56289999999996,1
0.3,16.693877551020407,12.051282051282053,376.56289999999996,1
0.3,16.693877551020407,12.307692307692308,376.56289999999996,1
0.3,16.693877551020407,12.564102564102564,376.56289999999996,1
0.3,16.693877551020407,12.82051282051282,376.56289999999996,1
0.3,16.693877551020407,13.076923076923077,376.56289999999996,1
0.3,16.693877551020407,13.333333333333332,376.56289999999996,1
0.3,16.693877551020407,13.58974358974359,376.55409999999995,1
0.3,16.693877551020407,13.846153846153848,376.55409999999995,1
0.3,16.693877551020407,14.102564102564102,376.1384999999999,1
0.3,16.693877551020407,14.358974358974358,376.06359999999995,1
0.3,16.693877551020407,14.615384615384617,376.06359999999995,1
0.3,16.693877551020407,14.871794871794872,376.06359999999995,1
0.3,16.693877551020407,15.128205128205128,376.06359999999995,1
0.3,16.693877551020407,15.384615384615383,376.06359999999995,1
0.3,16.693877551020407,15.64102564102564,376.06359999999995,1
0.3,16.693877551020407,15.897435897435898,376.06359999999995,1
0.3,16.693877551020407,16.153846153846153,376.06359999999995,1
0.3,16.693877551020407,16.41025641025641,377.24589999999984,1
0.3,16.693877551020407,16.666666666666664,377.2805999999998,1
0.3,16.693877551020407,16.923076923076923,376.89639999999986,1
0.3,16.693877551020407,17.17948717948718,376.89639999999986,1
0.3,16.693877551020407,17.435897435897434,376.19399999999996,1
0.3,16.693877551020407,17.692307692307693,375.9765,1
0.3,16.693877551020407,17.94871794871795,375.88870000000003,1
0.3,16.693877551020407,18.205128205128204,375.73510000000005,1
0.3,16.693877551020407,18.46153846153846,375.73510000000005,1
0.3,16.693877551020407,18.717948717948715,375.73510000000005,1
0.3,16.693877551020407,18.97435897435897,375.73510000000005,1
0.3,16.693877551020407,19.23076923076923,376.43410000000006,1
0.3,16.693877551020407,19.487179487179485,376.43410000000006,1
0.3,16.693877551020407,19.743589743589745,379.3239,1
0.3,16.693877551020407,20.0,379.3239,1
0.3,17.163265306122447,10.0,376.63149999999985,1
